Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Source Files
An Integrated BIM-AI Framework for Intelligent Cost Management,O. Olugboyeg; E. Dele Omopariola; E. Ibrahim; U. Afonne,"Obafemi Awolowo University, Ile-Ife, Nigeria; University of Cape Town, Cape Town, South Africa; Kaduna State University, Kaduna, Nigeria; Federal University of Technology, Owerri, Nigeria",Journal of Intelligent Construction,7 Sep 2026,2026,4.0,3.0,1,15,"Accurate cost estimation and adaptive budget control remain central challenges in building project delivery, where traditional methods are often slow, subjective, and poorly equipped to respond to design changes or market volatility. Building information modeling (BIM) provides a digital foundation for integrating cost and design data, whereas artificial intelligence (AI) offers both predictive and adaptive capabilities. However, their integration into practice remains limited. This study addresses this gap by developing and testing an integrated BIM-AI framework for intelligent cost management. A single case study of a proposed residential building was used to operationalize the framework. Machine learning regression models were applied to predict the total project cost and cost per square meter. Random forests identified the most influential cost drivers, while neural networks captured non-linear relationships between design variables and cost outcomes. Natural language processing was used to extract material quantities and specifications from textual data, and computer vision techniques were used to quantify components directly from the building documentation. Optimization algorithms were then applied to suggest cost-effective materials and design alternatives. The results demonstrated that regression models produced reliable baseline estimation, with neural networks improving the predictive accuracy by handling complex design-cost interactions. Random forest analysis revealed material choices, structural specifications, and finish quality as the most significant cost drivers. Optimization runs showed that substituting selected materials could reduce the overall cost by up to 12% without compromising the performance. The findings confirm that integrated BIM-AI techniques can intelligently generate cost estimation, adapt to dynamic project conditions, and optimize budget allocations. This research advances knowledge by bridging methodological gaps and provides practical insights for digital construction management.",2958-2652,,10.26599/JIC.2026.9180125,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11683590,artificial intelligence;machine learning;cost optimization;predictive analytics;natural language processing;BIM-AI integration framework,Artificial intelligence;Building information management;Costing;Costs;Design methodology;Modeling;Optimization;Materials;Construction;Estimation,,,,25.0,,7 Sep 2026,September 2026,,TUP,TUP Journals,S2-1E IEEE.csv
A Computer Vision Approach for Estimating Embodied Carbon to Support Circular Economy Decisions,D. Rajaratnam; R. A. Stewart; T. Liu; A. S. Vieira; I. Amarasinghe,"School of Engineering and Built Environment, Griffith University, Gold Coast, Australia; School of Engineering and Built Environment, Griffith University, Gold Coast, Australia; School of Engineering and Built Environment, Griffith University, Gold Coast, Australia; Seqwater, Brisbane, QLD, Australia; School of Engineering and Built Environment, Griffith University, Gold Coast, Australia",2025 5th International Conference on Advanced Research in Computing (ICARC),16 Apr 2025,2025,,,1,6,"The circular economy of urban settlements is essential for sustainability and limiting climate change to under 2°C. While the circular economy in building stocks can be achieved through design optimized for resource recovery, challenges persist due to insufficient data on existing building stocks, material weights, and geo-locations. Urban building stock estimation and mining address these issues by mapping and analysing building resources. However, traditional urban mining methods are time-consuming, costly, and rely on expert assumptions. This study applied a novel computer vision approach and tested ResNet and DenseNet deep learning models to classify typical building facades in Australia. It automatically estimated the façade material stock and its embodied carbon. The ResNet-50 model achieved the highest performance (F1-score: 0.77, Accuracy: 0.803) and was deployed in Southport (SA 3) of the city of Gold Coast. Of the available image data, 78% was successfully inferred in Southport, while 22% remained unidentified due to the coverage limitations of open-street view images. Using model predictions, semantic data, and expert consensus, façade material stock weight was estimated, and embodied carbon coefficients were applied to account for the total embodied carbon. Results show that larger-scale autonomous stock estimation is feasible, offering significant advantages over traditional methods. This approach supports data-driven circular economy applications for sustainable urban planning and climate change mitigation.",,979-8-3315-3098-3,10.1109/ICARC64760.2025.10963282,Griffith University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963282,building façade;circular economy;computer vision;embodied carbon;estimation,Computer vision;Climate change;Biological system modeling;Computational modeling;Buildings;Urban planning;Estimation;Data mining;Carbon;Sustainable development,,,,33.0,IEEE,16 Apr 2025,19-20 Feb. 2025,19-20 Feb. 2025,IEEE,IEEE Conferences,S2-1B IEEE.csv
Urban Mining: Visualizing the Availability of Construction Materials for Re-use in Future Cities,A. Von Richthofen; W. Zeng; S. Asada; R. Burkhard; F. Heisel; S. M. Arisona; S. Schubiger,"ETH, Future Cities Laboratory (FCL), Zurich; ETH, Future Cities Laboratory (FCL), Zurich; ETH, Future Cities Laboratory (FCL), Zurich; ETH, Future Cities Laboratory (FCL), Zurich; ETH, Future Cities Laboratory (FCL), Zurich; School of Engineering, University of Applied Sciences and Arts Northwestern Switzerland (FHNW); School of Engineering, University of Applied Sciences and Arts Northwestern Switzerland (FHNW)",2017 21st International Conference Information Visualisation (IV),16 Nov 2017,2017,,,306,311,"This paper presents a method and case study to visualize the urban stock of materials and its availability for use in building future cities. Re-using material from existing buildings for new buildings can be seen as a source for construction materials in times of depleting natural resources. The authors explain the concept of ""urban mining"" and the challenges, such as ""How much resources are available in a city? Today? In the near future?"" We explore what data are needed to answer the questions, and then discuss how to best visualize the data in an effective and intuitive way. We apply the concept to an exemplary real-world district in Singapore that is in transformation. Then, we discuss features of a visual tool prototype and explain the thinking behind the design, e.g., how the spatial and temporal dimensions can be presented. Lastly, we conclude the paper with an outlook of future challenges. The paper presents a multi-disciplinary approach with researchers from computer science, architecture, graphic design and material science, and contributes to the discussion of how to visualize knowledge and plan sustainable future cities.",2375-0138,978-1-5386-0831-9,10.1109/iV.2017.34,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8107988,urban mining;visual analytics;knowledge visualization;information visualization;future cities;sustainable cities,Data visualization;Urban areas;Tools;Prototypes;Concrete;Geometry,,7.0,,24.0,IEEE,16 Nov 2017,11-14 July 2017,11-14 July 2017,IEEE,IEEE Conferences,S2-1B IEEE.csv; S2-1D IEEE.csv
Analyzing Regional Metabolism,P. Baccini; P. H. Brunner,NA; NA,"Metabolism of the Anthroposphere: Analysis, Evaluation, Design",,2012,,,173,279,"This chapter contains sections titled: Regions as Anthropogenic Systems, Introducing the Model Region METALAND, Metabolic Status of METALAND Described by Activities, To Nourish and To Clean, To Nourish, To Clean, To Reside & Work And To Transport & Communicate, An Outline of the Cultural Aspects of the Activity To Transport & Communicate, The Material Systems Emerging from Cultural Periods, To Transport & Communicate In Metaland",,9780262301329,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6278059.pdf&bkn=6267542&pdfType=chapter,,,,,,,,4 Sep 2012,,,MIT Press,MIT Press eBook Chapters,S2-1B IEEE.csv
BIM and IoT Technologies Applied in Material Management System for Construction Projects,Y. Yi; L. Li; Y. Wang,"Chongqing College Of Architecture And Technology, Chongqing, China; Chongqing College Of Architecture And Technology, Chongqing, China; Chongqing College Of Architecture And Technology, Chongqing, China",2023 2nd International Conference on Artificial Intelligence and Computer Information Technology (AICIT),17 Oct 2023,2023,,,1,5,"Material management is a critical aspect of construction projects that is closely linked to ensuring the smooth implementation of construction and meeting schedule targets. However, in practice, there are still many problems, including a lack of quality control and inefficient management. To address these issues, this paper proposes the use of IoT and BIM technologies to construct a project material management system, which aims to enhance the visualization, accuracy, and automation of material management. By leveraging the capabilities of these two technologies, this system enables real-time monitoring of material usage, tracking of material quality, and optimization of material procurement and utilization processes. The system can provide construction teams with real-time information on material inventories, usage rates, and potential delays in the supply chain, allowing them to make informed decisions and take appropriate actions to ensure project success. This paper highlights the potential benefits of integrating IoT and BIM technologies in construction material management and provides a practical solution for addressing the challenges faced in this critical area.",,979-8-3503-0295-0,10.1109/AICIT59054.2023.10278027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10278027,Material management;Construction projects;Internet of Things;BIM,Visualization;Schedules;Supply chains;Project management;Transportation;Solids;Real-time systems,,3.0,,14.0,IEEE,17 Oct 2023,15-17 Sept. 2023,15-17 Sept. 2023,IEEE,IEEE Conferences,S2-1D IEEE.csv
Urban transformation processes and material stock techniques to facilitate circular economy and urban resilience,G. Suciu; I. Petre; C. Stalidi,"Research & Development Department, BEIA Consult International, Bucharest, Romania; Research & Development Department, BEIA Consult International, Bucharest, Romania; Research & Development Department, BEIA Consult International, Bucharest, Romania Country","2023 15th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",2 Aug 2023,2023,,,1,5,"The most significant material stock accumulated in modern society comprises construction materials. The global material stock accumulation rate is increasing every year. This growth results from high resource and energy consumption, demolition waste emissions, and environmental impacts at the global and local levels, leading to increased greenhouse gas emissions. Thus, material efficiency and the circular economy represent important strategies for reducing these emissions. This paper presents the CREATE project's scope, which aims to support municipalities in developing strategies towards a local/regional Circular Economy approach focusing on buildings, municipal roads, water infrastructure, and wastewater pipes. To inform decision-makers and support a circular built environment, the project will further enhance already existing, validated, and deployed tools and arrangements. The project will follow a co-creation process and a living lab participation approach. Even though the entire Circular Economy range of strategies is discussed, the focus will be on empowering the recycling and reuse of materials stocked in existing buildings and infrastructure.",,979-8-3503-2138-8,10.1109/ECAI58194.2023.10194029,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10194029,Circular Economy;material stock and flows;building infrastructure;living lab;co-creation;recycling;reuse,Surveys;Roads;Buildings;Urban planning;Laboratories;Recycling;Wastewater,,1.0,,30.0,IEEE,2 Aug 2023,29-30 June 2023,29-30 June 2023,IEEE,IEEE Conferences,S2-1D IEEE.csv
An AI-BIM Based Predictive Framework for the Optimization of Construction Waste Recycling in Saudi Arabia,Y. Al-Atawneh; R. Ismail; F. Albtoush; M. Aljamal; HashemAl-Mattarneh; E. Arrasheed,"Civil Engineering Department, Jadara University, Irbid, Jordan; Civil Engineering Department, Jadara University, Irbid, Jordan; Civil Engineering Department, Jadara University, Irbid, Jordan; Civil Engineering Department, Jadara University, Irbid, Jordan; Civil Engineering Department, Jadara University, Irbid, Jordan; Communication and Computer, Jadara University, Irbid, Jordan",2026 International Conference on Artificial Intelligence for Sustainable Engineering and Innovation (AISEI),26 Jun 2026,2026,,,1,5,"With the escalation of infrastructure and urban construction in Saudi Arabia, C&D waste continues to generate enormous quantities as well as place an ever-growing burden on landfills. While the national reforms in Vision 2030 encourage recycling and the implementation of circulatory economy ideas (recycling of resources), the development of artificial intelligence (AI) and Building Information Modelling (BIM) is not yet comprehensive throughout project phases. This paper puts forward an AI–BIM scheduled arrangement: over the full picture of infrastructure projects, it combines BIM-enabled material quantification, machine-learning waste prediction and decision-support analysis to raise recycling efficiency and economic effectiveness. The survey, which studied construction stakeholders from Saudi Arabia via descriptive statistics, relative importance index (RII), ANOVA and questionnaires on regression modeling groups. It is evident that the persistent usefulness of sustainable design approaches (Mean=4.16) and BIM-mediated preparing $(M e a n=4.01)$ are elevated to exceptionally high aggregate. In the same line, AI-supported sorting-analysis scored a decent mean (Mean=3.84), although it appears under-utilized in practice The linear regression results show that innovative technologies can significantly predict economic benefits $(B=0.237, p=0.001; F=12.328)$. Based on these results, a general framework is presented that lays out an applied workflow from data acquisition for ML inference and policy integration whereupon a conceptual prototype based on Random Forest/XGBoost is described. The study supports providing an empirically grounded roadmap for deploying integrated artificial intelligence (AI) strategies in circular construction, focusing on Saudi Vision 2030.",,979-8-3315-7976-0,10.1109/AISEI68628.2026.11572970,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11572970,AI;BIM;Construction Waste Recycling;Machine Learning;Circular Economy;Sustainable Engineering,Aluminum;Modeling;Artificial intelligence;Building information management;Recycling;Printing;Technology;Construction;Design methodology;Machine learning,,,,49.0,IEEE,26 Jun 2026,27-28 April 2026,27-28 April 2026,IEEE,IEEE Conferences,S2-1D IEEE.csv
CNN-Based Optimization of Paper Recycling through Automated Classification and Process Enhancement,G. Shasikanth; R. K. S; R. Jagadeesh Kannan; J. S. Kumar; M. Muthulekshmi; M. P,"Department of Electrical and Electronics Engineering, Meenakshi College of Engineering, Chennai, Tamil Nadu, India; Department of Electrical and Electronics Engineering, Madanapalle Institute of Technology & Science, Madanapalle, Andhra Pradesh, India; School of Computing, Faculty of Engineering and Technology, SRM Institute of Science and Technology, Tiruchirappalli, Tamil Nadu, India; Department of Computer Science and Engineering, Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai, Tamil Nadu, India; Department of Biomedical Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Chennai, Tamil Nadu, India; Department of Management Studies, St. Joseph's College of Engineering, Chennai, Tamil Nadu, India",2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),4 Feb 2026,2025,,,1,6,"Enhancing paper recycling using automated sorting systems is crucial for increasing recycling rates and minimizing environmental impact. This research introduces a Convolutional Neural Network (CNN) methodology for the classification and optimization of the paper recycling process. We present a CNN model designed to identify and classify various types of paper trash, facilitating accurate sorting and reducing contamination. The data set comprises 10,000 images of diverse kinds of paper, including newspapers, cardboard, and office paper, sourced from an actual recycling centre. The model attained an accuracy of 94.5% in categorizing paper kinds, with a precision of 92.3% and a recall of 93.6%. The CNN-based approach exhibited a 30% enhancement in sorting speed relative to conventional human techniques. The automated system decreased contamination by 15%, resulting in superior output for recycling. The proposed method demonstrates substantial enhancements in operational efficiency and environmental sustainability, providing a scalable solution for paper recycling operations. These findings underscore the capacity of AI and machine learning (ML) to transform waste management and advance a circular economy.",,979-8-3315-1458-7,10.1109/GCAT66372.2025.11368502,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11368502,Paper Recycling;Waste Management;Real-Time Monitoring;Image Classification;Recycling Efficiency,Waste management;Training;Accuracy;Scalability;Transforms;Recycling;Convolutional neural networks;Optimization;Contamination;Sorting,,,,20.0,IEEE,4 Feb 2026,24-26 Oct. 2025,24-26 Oct. 2025,IEEE,IEEE Conferences,S2-1D IEEE.csv
Blockchain's role in supporting circular supply chains in the built environment,Q. Li; Y. Wang,"Cardiff Business School, Cardiff University, United Kindgom; Cardiff Business School, Cardiff University, United Kindgom",2021 IEEE International Conference on Blockchain (Blockchain),24 Jan 2022,2021,,,578,583,"The AEC sector is a significant component of the UK economy and is under enormous pressure to improve its environmental sustainability. Though significant progress has been achieved in reusing, remanufacturing, and recycling materials, using blockchain in the circular supply chain is still a relatively new idea and particularly challenging in the building industry. As a result, this study focuses on the importance of blockchain and circular economy in built-environment supply chains. We show the application method of utilising a blockchain-enabled digital platform and the idea of material passports to efficiently monitor materials and resources in the built environment. Based on the methodologies of Life Cycle Assessment (LCA), Life Cycle Costing (LCC), and Building Information Management (BIM), we suggest that blockchain can be used to track environmental performance (e.g. materials, energy, and carbon emissions) and value creation opportunities at each stage of the building life cycle.",,978-1-6654-1760-0,10.1109/Blockchain53845.2021.00087,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680572,Blockchain;circular economy;supply chains;built environment,Industries;Building information management;Supply chains;Ecosystems;Collaboration;Blockchains;Recycling,,29.0,,17.0,IEEE,24 Jan 2022,6-8 Dec. 2021,6-8 Dec. 2021,IEEE,IEEE Conferences,S2-1D IEEE.csv
Beyond Positive Energy Districts Monitoring: Integrating Circularity and Recyclability into Data-Driven Impact Assessment,J. L. Hernández; R. G. Martinez; A. Arriazu-Ramos; R. Sanz,"Energy division, CARTIF technology centre, Boecillo, Spain; Faculty of Engineering, Institute of Technology (Deustotech), University of Deusto, Bilbao, Spain; Faculty of Engineering, Institute of Technology (Deustotech), University of Deusto, Bilbao, Spain; Energy division, CARTIF technology centre, Boecillo, Spain",2026 11th International Conference on Smart and Sustainable Technologies (SpliTech),16 Sep 2026,2026,,,1,6,"Positive Energy Districts (PEDs) have emerged as a key strategy for urban decarbonisation. The main feature is the net-positive annual energy balance through integrated renewable generation, efficient buildings and smart energy management. Existing PED monitoring frameworks are predominantly energy-centric, relying on Key Performance Indicator (KPI)-based methodologies to quantify operational performance, grid interactions and primary energy balances within defined district boundaries. While these approaches enable transparent and comparable evaluation of energy flows, they largely overlook embodied impacts, material stocks and end-of-life recovery potential, thereby limiting the assessment of long-term sustainability performance. This paper advances beyond conventional energy monitoring by proposing an extended data-driven impact assessment framework that integrates circularity and recyclability indicators. The study identifies the methodological divergence between dynamic operational energy metrics and lifecycle-based material indicators, highlighting differences in temporal scales, system boundaries and data granularity. To address this gap, a complementary set of circular KPIs is introduced. These indicators are conceptually embedded within the existing monitoring architecture, aligning energy flows and material stocks under harmonised boundaries and interoperable data structures. By integrating operational and lifecycle dimensions within a unified KPI-driven approach, the proposed framework supports multidimensional impact assessment at district scale. The results contribute to the transition from energy-positive to circular-positive districts, enabling more comprehensive, transparent and data-informed decision-making toward climate-neutral and resource-efficient urban developments.",,978-953-290-147-4,10.23919/SpliTech70133.2026.11685526,"European Commission(grant numbers:GA#864374,GA#101147412); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11685526,positive energy districts;recyclability;circularity;data;monitoring;impact assessment,Energy;Monitoring;Materials;Key performance indicator;Fluid flow;Modeling;kWh;Printing;Energy consumption;Measurement,,,,13.0,,16 Sep 2026,23-26 June 2026,23-26 June 2026,IEEE,IEEE Conferences,S2-1A IEEE.csv; S2-1D IEEE.csv
