Database,Search family,Variant,Query date,Results,Export filename,Query / Block,Notes
Web of Science Core Collection,S1,S1-1 Base,2026-09-25,504,"S1/results/raw/WOS_S1-1_part001.txt; S1/results/raw/WOS_S1-1_part002.txt; S1/results/final/WOS_S1-1.csv; S1/results/final/WOS_S1-1_full_record_cited_references.txt",S1/queries/S1-1_WoS_executed.txt,"Full Record and Cited References; exported in 500 + 4 records; 504 unique UTs; no duplicate records removed."
Web of Science Core Collection,S1,S1-2 Base + uncertainty,2026-09-25,152,"S1/results/raw/WOS_S1-2_part001.txt; S1/results/final/WOS_S1-2.csv; S1/results/final/WOS_S1-2_full_record_cited_references.txt",S1/queries/S1-2_WoS_executed.txt,"Full Record and Cited References; 152 unique UTs; all 152 UTs are contained in S1-1; no duplicate records removed."
