Database,Search family,Variant,Provided result file,Records,Status,Notes
Scopus,S3,S3-1,S3-1.csv,155,PROVIDED,"Exact file supplied in Scopous.zip."
Scopus,S3,S3-2,S3-2.csv,46,PROVIDED,"Exact file supplied in Scopous.zip."
