Database,Search family,Variant,Provided result file,Records,Status,Notes
Scopus,S2,S2-1,S2-1.csv,226,PROVIDED,"Exact file supplied in Scopous.zip."
Scopus,S2,S2-2,S2-2.csv,42,PROVIDED,"Exact file supplied in Scopous.zip."
